date,요일,배추_거래량(kg),배추_가격(원/kg),무_거래량(kg),무_가격(원/kg),양파_거래량(kg),양파_가격(원/kg),건고추_거래량(kg),건고추_가격(원/kg),마늘_거래량(kg),마늘_가격(원/kg),대파_거래량(kg),대파_가격(원/kg),얼갈이배추_거래량(kg),얼갈이배추_가격(원/kg),양배추_거래량(kg),양배추_가격(원/kg),깻잎_거래량(kg),깻잎_가격(원/kg),시금치_거래량(kg),시금치_가격(원/kg),미나리_거래량(kg),미나리_가격(원/kg),당근_거래량(kg),당근_가격(원/kg),파프리카_거래량(kg),파프리카_가격(원/kg),새송이_거래량(kg),새송이_가격(원/kg),팽이버섯_거래량(kg),팽이버섯_가격(원/kg),토마토_거래량(kg),토마토_가격(원/kg),청상추_거래량(kg),청상추_가격(원/kg),백다다기_거래량(kg),백다다기_가격(원/kg),애호박_거래량(kg),애호박_가격(원/kg),캠벨얼리_거래량(kg),캠벨얼리_가격(원/kg),샤인마스캇_거래량(kg),샤인마스캇_가격(원/kg)
2022-01-01,토요일,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,4728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03,월요일,696663.76,872.3299601517955,1492236.4,484.1167612584709,2041840.8,648.9816199186538,46.0,8630.304347826086,105357.0,7109.619370331349,891843.2,1153.4715956795994,253683.5,1867.8990158997333,1060119.4,420.86025404308236,70294.0,13281.81305659089,397005.77,2696.8188170161857,57919.5,7307.755954384966,414715.0,1038.0328153068974,108933.1,4107.233696645005,192264.6,3133.7304059093563,145739.5,2544.879782076925,239745.7,3464.712818624067,45388.0,5416.984643518111,368105.9,3138.6188295270463,356580.1,3275.3763880822294,0.0,0.0,62762.3,14264.720222171589
2022-01-04,화요일,772086.15,762.545787150825,1501912.7,451.74554819331377,2126767.3,669.2861245327592,373.8,7219.887640449438,102749.9,6560.452088031229,770166.7,1127.70630825768,223140.5,1652.866377909882,869144.7,394.212493040572,53824.8,13398.687705295699,329939.4,2602.8453709984315,58611.5,7506.347901009188,536004.0,985.2872646472788,98660.9,4370.407669096877,174241.0,2924.7475565452446,132623.0,2412.441688093317,209774.7,3132.4183993589313,39198.5,5134.767707948008,164677.2,3003.507395073513,209670.87,3348.811802040026,0.0,0.0,49789.3,14062.35355789296
2022-01-05,수요일,887733.0,730.6731765069002,1716175.5,434.7980349329075,1918926.8,647.1024527876727,994.8,7911.745074386812,79260.1,6272.298546178972,773683.4,1154.1351229714894,238534.5,1500.443587824822,877955.3,352.3854711054196,60201.3,11922.627518010408,347822.08,2515.982286115936,60396.0,7376.218309159547,352142.0,967.6987891248417,134912.1,4233.11989065473,168210.3,2856.5465551158286,143923.0,2277.0735671157495,208451.6,3057.203782556718,39672.6,4356.941944818338,189345.0,3070.7132113338084,271719.0,3273.5166477132625,0.0,0.0,64047.8,14604.215913739425
2022-01-06,목요일,900934.7,659.0059712429769,1576445.2,429.89900949300363,1976379.9,621.2499681867844,381.6,12161.970649895178,69333.5,6301.424462921964,662201.6,1133.6240927234244,207578.5,1507.226124092813,794036.5,333.3443827834111,61403.88,11013.580900750898,310186.49,2453.4280812810384,40464.5,5043.036983034512,439496.0,946.7215446784498,107528.3,4202.259786493416,155179.5,2839.143295345068,127505.0,2302.614258264382,143111.6,3171.9027667917903,36451.5,4165.819211829417,174342.0,3108.593379679022,177854.0,3256.3314572626987,738.0,4024.390243902439,66144.1,14122.117618956187
2022-01-07,금요일,779973.6,675.1815497345038,1366386.6,406.69317966086606,1940108.0,624.1490782987339,182.8,13623.632385120349,91920.1,6038.242680327806,719514.9,1103.1538109912665,182111.01,1505.0994390729038,617972.5,336.12734061790775,54272.0,10627.60764298349,299291.13,2443.1651115086506,54495.5,5653.577689901001,276561.0,981.7539349365962,81787.7,4741.127663450617,134446.7,2889.6323375731795,115260.5,2214.474715969478,183274.1,3086.535195098489,29289.0,4447.644166752023,176163.2,3232.849704137981,242058.7,3275.4509546651284,147.6,3048.7804878048782,50671.7,13978.000540735757
2022-01-08,토요일,366730.2,777.1343319966559,1159455.0,410.49068139772567,1529815.1,582.2342582446728,209.4,8141.3562559694365,56254.3,6137.930487091653,753405.5,1046.5727287629304,206484.5,1471.9557303332695,453316.0,371.27760105533446,62238.0,9670.6751020277,298245.38,2436.3416693998747,59041.3,5635.967111157783,146226.0,1016.3733125435969,44584.7,5665.202659208204,153917.5,2956.80292364416,117388.0,2232.37057450506,173198.5,2757.803907077717,37588.0,4230.808582526338,178913.0,3250.711513417136,170141.94,3334.419561690668,0.0,0.0,51666.2,13939.033642884517
2022-01-10,월요일,925741.1,701.3359545125521,1797621.3,405.93240411648435,2581390.3,614.8710096260918,150.0,11413.333333333334,56462.5,6357.726792118663,839775.9,1054.4381709453676,269359.2,1486.1215655526153,774589.7,364.3614019138132,79559.7,9877.623935233541,337295.76,2518.9139021492592,58049.7,6468.023796849941,583532.0,907.1981827903182,135742.0,5539.682471158521,188293.0,3004.7061069715814,123423.0,2522.5581941777464,236255.4,3059.1171249419062,43709.0,4622.364181289894,322470.0,3321.157698390548,327101.6,3380.2717871144623,0.0,0.0,68680.8,13870.864346367543
2022-01-11,화요일,716271.2,700.3968831917297,1574874.4,406.6089143362798,2324579.4,600.9311383384022,394.1,10532.605937579294,83456.9,5632.643184685749,712188.3,1072.335504528788,198007.01,1608.8658527796565,676714.7,381.83812469272505,55972.8,10382.52576251322,296549.91,2559.1809891292837,53733.5,6274.338894730476,491467.0,914.7186484545249,116374.2,5908.920585490599,174426.5,3081.260123891725,125724.0,2466.725231459387,167380.8,2882.861475151272,34300.0,4818.024314868805,163322.0,3338.271469857092,177652.2,3547.7931261194626,0.0,0.0,56443.9,13636.965199073771
2022-01-12,수요일,543047.76,700.9415948976568,1299377.0,421.4511138799594,1929184.8,545.6243144772859,326.0,10923.312883435583,55582.7,6456.777486520086,680190.8,1100.9667434490439,184118.0,1613.2263548376584,629675.3,374.46389591587916,56831.7,10526.06186336147,257647.37,2775.2691013302406,46251.3,6641.10690942741,365984.5,941.8061693869549,128421.2,5479.587085309902,162312.3,3108.8915750685564,128459.0,2451.6999587417,167263.1,2891.3633670546583,34317.0,4902.320861380656,219628.4,3376.137676183954,241714.6,3606.103776933623,0.0,0.0,54562.9,13192.398131330996
