date,avg_temp,max_temp,min_temp,precip,location
2021-12-01,4.6,7.1,1134,5.7,무안
2021-12-02,4.3,9.3,1452,6.8,무안
2021-12-03,5.9,11.6,1057,6.1,무안
2021-12-04,6.2,11.9,1318,6.5,무안
2021-12-05,4.0,12.2,1516,5.4,무안
2021-12-06,7.3,15.4,1406,6.9,무안
2021-12-07,7.2,14.2,1413,6.2,무안
2021-12-08,5.6,15.0,1345,6.0,무안
2021-12-09,6.9,15.0,1423,6.6,무안
2021-12-10,9.5,15.8,1402,8.5,무안
2021-12-11,7.7,13.8,1350,7.4,무안
2021-12-12,7.4,12.4,1330,7.2,무안
2021-12-13,2.2,6.2,1423,3.5,무안
2021-12-14,2.3,10.0,1432,3.6,무안
2021-12-15,5.6,14.5,1456,5.6,무안
2021-12-16,7.8,11.2,1421,7.1,무안
2021-12-17,1.8,9.1,108,4.7,무안
2021-12-18,-1.0,3.9,1512,3.0,무안
2021-12-19,3.0,8.2,1347,4.0,무안
2021-12-20,3.6,13.5,1327,4.1,무안
2021-12-21,5.8,14.4,1251,4.7,무안
2021-12-22,4.6,14.1,1231,3.9,무안
2021-12-23,3.9,14.4,1500,3.4,무안
2021-12-24,3.1,10.9,1222,3.7,무안
2021-12-25,-2.7,1.9,1,1.4,무안
2021-12-26,-5.2,-0.5,1510,0.2,무안
2021-12-27,-2.3,2.6,1240,0.5,무안
2021-12-28,2.2,7.4,1236,2.4,무안
2021-12-29,4.3,9.6,1338,3.6,무안
2021-12-30,3.3,6.1,1437,3.5,무안
2021-12-31,-0.6,2.2,1324,1.7,무안
2022-01-01,0.4,7.8,1448,1.0,무안
2022-01-02,1.1,8.6,1326,1.5,무안
2022-01-03,-0.1,7.5,1457,0.6,무안
2022-01-04,2.1,7.4,1512,1.3,무안
2022-01-05,2.3,6.6,1534,2.8,무안
2022-01-06,2.7,7.3,1440,1.9,무안
2022-01-07,0.3,8.8,1246,0.5,무안
2022-01-08,0.7,8.1,1428,0.7,무안
2022-01-09,2.4,9.6,1344,2.1,무안
2022-01-10,2.5,10.1,1323,2.1,무안
2022-01-11,-0.3,4.0,51,2.1,무안
2022-01-12,-1.3,2.4,1356,0.9,무안
2022-01-13,-1.2,2.0,1404,0.9,무안
2022-01-14,-0.2,4.7,1505,0.4,무안
2022-01-15,2.4,9.8,1432,1.9,무안
2022-01-16,1.9,5.8,1343,2.4,무안
2022-01-17,1.8,4.8,1430,1.7,무안
2022-01-18,-0.2,4.8,1526,0.5,무안
2022-01-19,0.4,8.9,1352,0.9,무안
2022-01-20,-0.9,5.6,1524,0.7,무안
2022-01-21,0.2,8.9,1349,0.9,무안
2022-01-22,6.9,12.3,1431,5.1,무안
2022-01-23,7.5,12.7,1249,6.0,무안
2022-01-24,5.1,10.3,1125,4.7,무안
2022-01-25,5.6,8.2,1524,5.7,무안
2022-01-26,4.7,8.4,1559,3.1,무안
2022-01-27,3.3,7.7,1420,2.3,무안
2022-01-28,1.8,6.6,1521,1.8,무안
2022-01-29,1.3,5.5,1521,1.9,무안
2022-01-30,1.6,6.5,1509,0.9,무안
2022-01-31,1.5,8.0,1530,0.5,무안
2022-02-01,2.8,5.4,1151,1.7,무안
2022-02-02,2.0,5.8,1224,1.7,무안
2022-02-03,1.2,6.9,1439,0.9,무안
2022-02-04,0.2,5.4,1250,0.7,무안
2022-02-05,-1.1,1.7,1400,2.0,무안
2022-02-06,0.6,4.8,1434,0.9,무안
2022-02-07,0.7,3.7,1338,0.9,무안
2022-02-08,2.6,8.1,1519,1.9,무안
2022-02-09,3.3,10.4,1324,3.1,무안
2022-02-10,4.8,9.5,1440,4.0,무안
2022-02-11,4.2,12.5,1352,3.0,무안
2022-02-12,6.1,14.8,1409,5.3,무안
2022-02-13,7.6,13.8,1235,6.7,무안
2022-02-14,5.8,13.3,1534,6.5,무안
2022-02-15,0.5,4.0,1,2.7,무안
2022-02-16,-1.7,0.8,1127,1.6,무안
2022-02-17,-3.0,2.2,1504,0.3,무안
2022-02-18,1.7,9.5,1434,2.9,무안
