date,avg_temp,max_temp,min_temp,precip,location
2021-12-01,1.3,4.4,1108,3.2,논산(부여)
2021-12-01,4.5,6.4,12,4.3,무안(목포)
2021-12-01,0.6,3.4,1400,1.5,상주
2021-12-01,6.1,7.6,1305,7.3,신안
2021-12-01,8.0,9.4,1150,8.0,제주
2021-12-01,3.6,7.1,1316,3.2,창녕(밀양)
2021-12-01,-6.7,-3.8,1,-3.8,평창
2021-12-01,-2.4,1.6,1338,0.4,포천(동두천)
2021-12-01,3.7,6.5,1112,4.8,해남
2021-12-02,2.2,7.3,1512,3.1,논산(부여)
2021-12-02,5.2,9.4,2355,6.0,무안(목포)
2021-12-02,1.4,6.9,1333,1.8,상주
2021-12-02,7.8,10.2,1249,7.9,신안
2021-12-02,9.1,12.4,1308,8.8,제주
2021-12-02,1.3,8.4,1340,1.3,창녕(밀양)
2021-12-02,-3.9,0.1,2353,-3.7,평창
2021-12-02,-0.8,4.4,1627,-1.6,포천(동두천)
2021-12-02,3.0,7.9,1539,4.9,해남
2021-12-03,3.9,9.1,1314,4.1,논산(부여)
2021-12-03,7.9,10.8,1008,6.3,무안(목포)
2021-12-03,3.9,8.4,1233,3.4,상주
2021-12-03,9.2,11.6,956,8.2,신안
2021-12-03,11.2,14.5,1345,9.1,제주
2021-12-03,4.3,11.3,1400,1.9,창녕(밀양)
2021-12-03,-2.2,0.6,1322,-2.2,평창
2021-12-03,1.1,4.8,1408,1.0,포천(동두천)
2021-12-03,5.4,11.1,1121,5.3,해남
2021-12-04,-0.4,4.6,1542,1.3,논산(부여)
2021-12-04,6.8,11.9,1503,6.7,무안(목포)
2021-12-04,2.1,7.3,1242,1.5,상주
2021-12-04,9.5,13.2,1208,9.0,신안
2021-12-04,11.3,14.4,1352,9.7,제주
2021-12-04,3.4,9.8,1319,1.9,창녕(밀양)
2021-12-04,-3.9,1.1,1451,-3.7,평창
2021-12-04,-0.3,6.8,1513,-0.2,포천(동두천)
2021-12-04,5.5,11.2,1434,5.7,해남
2021-12-05,0.9,9.6,1509,2.2,논산(부여)
2021-12-05,5.4,9.3,1423,5.4,무안(목포)
2021-12-05,1.0,9.2,1523,2.4,상주
2021-12-05,8.4,11.5,1256,9.0,신안
2021-12-05,9.7,14.3,1402,8.6,제주
2021-12-05,3.5,12.0,1438,2.3,창녕(밀양)
2021-12-05,-3.3,5.8,1420,-3.1,평창
2021-12-05,0.4,9.7,1515,0.3,포천(동두천)
2021-12-05,1.9,10.6,1407,4.2,해남
2021-12-06,3.7,12.9,1512,2.9,논산(부여)
2021-12-06,7.1,12.3,1450,6.7,무안(목포)
2021-12-06,3.4,11.3,1502,3.4,상주
2021-12-06,9.3,11.9,1303,8.9,신안
2021-12-06,10.5,16.8,1320,9.5,제주
2021-12-06,5.4,14.4,1520,4.4,창녕(밀양)
2021-12-06,-0.7,9.0,1432,-1.8,평창
2021-12-06,2.6,11.6,1406,1.5,포천(동두천)
2021-12-06,4.3,13.4,1337,5.5,해남
2021-12-07,4.9,13.0,1445,3.5,논산(부여)
2021-12-07,7.8,11.2,1320,6.2,무안(목포)
2021-12-07,5.5,13.8,1445,4.8,상주
2021-12-07,10.4,12.8,1313,9.4,신안
2021-12-07,11.5,15.3,1122,8.8,제주
2021-12-07,7.9,15.4,1351,6.1,창녕(밀양)
2021-12-07,-1.0,3.0,1545,-1.5,평창
2021-12-07,4.1,12.3,1441,2.9,포천(동두천)
2021-12-07,5.1,12.9,1353,5.2,해남
2021-12-08,4.6,13.8,1515,3.8,논산(부여)
2021-12-08,8.1,13.4,1439,7.0,무안(목포)
2021-12-08,4.0,12.2,1416,4.2,상주
2021-12-08,10.3,12.2,1203,9.7,신안
2021-12-08,11.3,16.0,1317,9.1,제주
2021-12-08,6.7,14.6,1410,5.1,창녕(밀양)
2021-12-08,-0.4,7.9,1439,-0.2,평창
2021-12-08,3.4,12.8,1443,2.7,포천(동두천)
2021-12-08,3.1,13.6,1348,4.6,해남
2021-12-09,4.5,11.4,1453,3.4,논산(부여)
2021-12-09,9.4,13.7,1425,7.5,무안(목포)
2021-12-09,3.4,9.3,1441,3.8,상주
2021-12-09,11.6,14.6,1302,10.0,신안
2021-12-09,12.6,15.4,1517,10.6,제주
2021-12-09,7.0,14.8,1443,4.7,창녕(밀양)
2021-12-09,-0.7,7.5,1423,-0.6,평창
